"id"	"gun"	"tarih"	"yemek"	"kalori"
"639"	"Perşembe"	"23/10/2025"	"PİDELİ KÖFTE"	"450"
"640"	"Perşembe"	"23/10/2025"	"CEVİZLİ ERİŞTE"	"420"
"641"	"Perşembe"	"23/10/2025"	"HAVUÇ-TURP SALATASI"	"120"
"642"	"Cuma"	"24/10/2025"	"EZOGELİN ÇORBASI"	"160"
"643"	"Cuma"	"24/10/2025"	"ARNAVUT CİĞER"	"620"
"644"	"Cuma"	"24/10/2025"	"FASULYE PİYAZI"	"130"
"645"	"Cuma"	"24/10/2025"	"AYRAN"	"90"
"646"	"Pazartesi"	"27/10/2025"	"HÜNKAR ÇORBASI"	"160"
"647"	"Pazartesi"	"27/10/2025"	"HASANPAŞA KÖFTE"	"410"
"648"	"Pazartesi"	"27/10/2025"	"SOSLU MAKARNA"	"310"
"649"	"Pazartesi"	"27/10/2025"	"TATLI"	"380"
"650"	"Salı"	"28/10/2025"	"RESMİ TATİL"	"0"
"651"	"Çarşamba"	"29/10/2025"	"RESMİ TATİL"	"0"
"652"	"Perşembe"	"30/10/2025"	"MANTAR ÇORBASI"	"160"
"653"	"Perşembe"	"30/10/2025"	"ETLİ NOHUT"	"320"
"654"	"Perşembe"	"30/10/2025"	"PİRİNÇ PİLAVI"	"390"
"655"	"Perşembe"	"30/10/2025"	"TURŞU"	"10"
"656"	"Cuma"	"31/10/2025"	"EZOGELİN ÇORBASI"	"160"
"657"	"Cuma"	"31/10/2025"	"BALIK"	"380"
"658"	"Cuma"	"31/10/2025"	"TAHİN HELVASI"	"420"
"659"	"Cuma"	"31/10/2025"	"YEŞİL SALATA"	"70"
"686"	"Pazartesi"	"3/11/2025"	"DÜĞÜN ÇORBASI"	"160"
"687"	"Pazartesi"	"3/11/2025"	"PATATES OTORTMASI"	"380"
"688"	"Pazartesi"	"3/11/2025"	"ŞEHRİYELİ BULGUR PİLAVI"	"360"
"689"	"Pazartesi"	"3/11/2025"	"NANE TARATOR"	"130"
"690"	"Salı"	"4/11/2025"	"ŞEHRİYE ÇORBASI"	"160"
"691"	"Salı"	"4/11/2025"	"PİLİÇ PİRZOLA-SEBZE HAŞLAMA"	"380"
"692"	"Salı"	"4/11/2025"	"FELLAH KÖFTE"	"150"
"693"	"Salı"	"4/11/2025"	"TATLI"	"380"
"694"	"Çarşamba"	"5/11/2025"	"ALACA ÇORBASI"	"160"
"695"	"Çarşamba"	"5/11/2025"	"FIRIN KÖFTE"	"420"
"696"	"Çarşamba"	"5/11/2025"	"PESTO SOSLU PENNE MAKARNA"	"380"
"697"	"Çarşamba"	"5/11/2025"	"AYRAN"	"90"
"698"	"Perşembe"	"6/11/2025"	"SEBZE ÇORBASI"	"160"
"699"	"Perşembe"	"6/11/2025"	"ETLİ KURU FASULYE"	"360"
"700"	"Perşembe"	"6/11/2025"	"PİRİNÇ PİLAVI"	"390"
"701"	"Perşembe"	"6/11/2025"	"CACIK"	"105"
"702"	"Cuma"	"7/11/2025"	"MANTAR ÇORBASI"	"160"
"703"	"Cuma"	"7/11/2025"	"ÇOBAN KAVURMA"	"380"
"704"	"Cuma"	"7/11/2025"	"MEYHANE PİLAVI"	"360"
"705"	"Cuma"	"7/11/2025"	"AKDENİZ SALATASI"	"100"
